date,Game_IT
2018-01-07,74
2018-01-14,71
2018-01-21,72
2018-01-28,70
2018-02-04,68
2018-02-11,72
2018-02-18,76
2018-02-25,75
2018-03-04,69
2018-03-11,71
2018-03-18,71
2018-03-25,70
2018-04-01,70
2018-04-08,65
2018-04-15,64
2018-04-22,67
2018-04-29,70
2018-05-06,63
2018-05-13,61
2018-05-20,64
2018-05-27,64
2018-06-03,67
2018-06-10,68
2018-06-17,68
2018-06-24,74
2018-07-01,65
2018-07-08,60
2018-07-15,62
2018-07-22,63
2018-07-29,65
2018-08-05,65
2018-08-12,68
2018-08-19,69
2018-08-26,67
2018-09-02,64
2018-09-09,66
2018-09-16,61
2018-09-23,61
2018-09-30,63
2018-10-07,61
2018-10-14,62
2018-10-21,62
2018-10-28,71
2018-11-04,71
2018-11-11,70
2018-11-18,78
2018-11-25,78
2018-12-02,82
2018-12-09,85
2018-12-16,85
2018-12-23,98
2018-12-30,84
2019-01-06,66
2019-01-13,66
2019-01-20,63
2019-01-27,62
2019-02-03,56
2019-02-10,57
2019-02-17,59
2019-02-24,60
2019-03-03,57
2019-03-10,58
2019-03-17,59
2019-03-24,59
2019-03-31,61
2019-04-07,65
2019-04-14,60
2019-04-21,71
2019-04-28,63
2019-05-05,67
2019-05-12,64
2019-05-19,59
2019-05-26,60
2019-06-02,64
2019-06-09,62
2019-06-16,63
2019-06-23,61
2019-06-30,57
2019-07-07,59
2019-07-14,60
2019-07-21,61
2019-07-28,63
2019-08-04,60
2019-08-11,64
2019-08-18,62
2019-08-25,63
2019-09-01,64
2019-09-08,62
2019-09-15,59
2019-09-22,61
2019-09-29,61
2019-10-06,62
2019-10-13,63
2019-10-20,64
2019-10-27,70
2019-11-03,69
2019-11-10,70
2019-11-17,77
2019-11-24,79
2019-12-01,80
2019-12-08,83
2019-12-15,85
2019-12-22,100
2019-12-29,83
2020-01-05,68
2020-01-12,67
2020-01-19,65
2020-01-26,67
2020-02-02,60
2020-02-09,62
2020-02-16,64
2020-02-23,66
2020-03-01,70
2020-03-08,90
