date,Arts_SA
2020-03-15,46
2020-03-22,49
2020-03-29,50
2020-04-05,46
2020-04-12,47
2020-04-19,41
2020-04-26,44
2020-05-03,48
2020-05-10,35
2020-05-17,36
2020-05-24,46
2020-05-31,46
2020-06-07,44
2020-06-14,50
2020-06-21,43
2020-06-28,45
2020-07-05,46
2020-07-12,53
2020-07-19,37
2020-07-26,43
2020-08-02,40
2020-08-09,46
2020-08-16,49
2020-08-23,42
2020-08-30,47
2020-09-06,64
2020-09-13,71
2020-09-20,62
2020-09-27,76
2020-10-04,79
2020-10-11,73
2020-10-18,69
2020-10-25,78
2020-11-01,76
2020-11-08,81
2020-11-15,87
2020-11-22,75
2020-11-29,76
2020-12-06,80
2020-12-13,71
2020-12-20,44
2020-12-27,43
2021-01-03,43
2021-01-10,41
2021-01-17,63
2021-01-24,100
2021-01-31,87
2021-02-07,70
2021-02-14,71
2021-02-21,84
2021-02-28,80
2021-03-07,80
2021-03-14,73
2021-03-21,81
2021-03-28,87
2021-04-04,73
2021-04-11,43
2021-04-18,45
2021-04-25,41
2021-05-02,38
2021-05-09,36
2021-05-16,39
2021-05-23,42
2021-05-30,46
2021-06-06,40
2021-06-13,40
2021-06-20,40
2021-06-27,40
2021-07-04,36
2021-07-11,46
2021-07-18,37
2021-07-25,35
2021-08-01,52
2021-08-08,46
2021-08-15,45
2021-08-22,43
2021-08-29,46
