date,Cooking_AT
2020-03-15,59
2020-03-22,61
2020-03-29,73
2020-04-05,100
2020-04-12,72
2020-04-19,66
2020-04-26,70
2020-05-03,58
2020-05-10,62
2020-05-17,47
2020-05-24,50
2020-05-31,46
2020-06-07,42
2020-06-14,41
2020-06-21,35
2020-06-28,34
2020-07-05,37
2020-07-12,43
2020-07-19,46
2020-07-26,33
2020-08-02,45
2020-08-09,38
2020-08-16,40
2020-08-23,38
2020-08-30,41
2020-09-06,37
2020-09-13,40
2020-09-20,43
2020-09-27,41
2020-10-04,47
2020-10-11,54
2020-10-18,47
2020-10-25,61
2020-11-01,48
2020-11-08,51
2020-11-15,64
2020-11-22,51
2020-11-29,49
2020-12-06,58
2020-12-13,55
2020-12-20,53
2020-12-27,66
2021-01-03,57
2021-01-10,53
2021-01-17,57
2021-01-24,57
2021-01-31,52
2021-02-07,46
2021-02-14,49
2021-02-21,49
2021-02-28,49
2021-03-07,50
2021-03-14,51
2021-03-21,53
2021-03-28,71
2021-04-04,56
2021-04-11,53
2021-04-18,44
2021-04-25,52
2021-05-02,50
2021-05-09,52
2021-05-16,46
2021-05-23,39
2021-05-30,45
2021-06-06,32
2021-06-13,33
2021-06-20,26
2021-06-27,27
2021-07-04,30
2021-07-11,31
2021-07-18,37
2021-07-25,31
2021-08-01,33
2021-08-08,31
2021-08-15,37
2021-08-22,37
2021-08-29,37
