date,Learning_HK
2020-03-15,58
2020-03-22,66
2020-03-29,86
2020-04-05,57
2020-04-12,72
2020-04-19,75
2020-04-26,61
2020-05-03,70
2020-05-10,69
2020-05-17,90
2020-05-24,68
2020-05-31,66
2020-06-07,82
2020-06-14,64
2020-06-21,59
2020-06-28,77
2020-07-05,65
2020-07-12,63
2020-07-19,62
2020-07-26,65
2020-08-02,64
2020-08-09,56
2020-08-16,56
2020-08-23,62
2020-08-30,74
2020-09-06,88
2020-09-13,83
2020-09-20,80
2020-09-27,68
2020-10-04,100
2020-10-11,72
2020-10-18,78
2020-10-25,53
2020-11-01,61
2020-11-08,60
2020-11-15,79
2020-11-22,49
2020-11-29,59
2020-12-06,63
2020-12-13,68
2020-12-20,48
2020-12-27,45
2021-01-03,53
2021-01-10,69
2021-01-17,44
2021-01-24,71
2021-01-31,68
2021-02-07,63
2021-02-14,48
2021-02-21,58
2021-02-28,52
2021-03-07,58
2021-03-14,61
2021-03-21,67
2021-03-28,49
2021-04-04,58
2021-04-11,62
2021-04-18,74
2021-04-25,72
2021-05-02,60
2021-05-09,53
2021-05-16,57
2021-05-23,57
2021-05-30,54
2021-06-06,55
2021-06-13,59
2021-06-20,59
2021-06-27,56
2021-07-04,49
2021-07-11,53
2021-07-18,54
2021-07-25,52
2021-08-01,50
2021-08-08,48
2021-08-15,48
2021-08-22,51
2021-08-29,68
