date,Crafts_PT
2020-03-15,48
2020-03-22,65
2020-03-29,70
2020-04-05,53
2020-04-12,72
2020-04-19,65
2020-04-26,66
2020-05-03,59
2020-05-10,56
2020-05-17,59
2020-05-24,35
2020-05-31,54
2020-06-07,58
2020-06-14,28
2020-06-21,65
2020-06-28,48
2020-07-05,43
2020-07-12,90
2020-07-19,70
2020-07-26,19
2020-08-02,96
2020-08-09,68
2020-08-16,63
2020-08-23,52
2020-08-30,89
2020-09-06,25
2020-09-13,24
2020-09-20,37
2020-09-27,38
2020-10-04,52
2020-10-11,33
2020-10-18,51
2020-10-25,44
2020-11-01,60
2020-11-08,82
2020-11-15,64
2020-11-22,50
2020-11-29,88
2020-12-06,50
2020-12-13,45
2020-12-20,44
2020-12-27,41
2021-01-03,31
2021-01-10,20
2021-01-17,31
2021-01-24,48
2021-01-31,78
2021-02-07,77
2021-02-14,41
2021-02-21,59
2021-02-28,61
2021-03-07,56
2021-03-14,30
2021-03-21,52
2021-03-28,66
2021-04-04,63
2021-04-11,32
2021-04-18,93
2021-04-25,37
2021-05-02,59
2021-05-09,75
2021-05-16,44
2021-05-23,26
2021-05-30,47
2021-06-06,66
2021-06-13,49
2021-06-20,64
2021-06-27,57
2021-07-04,51
2021-07-11,86
2021-07-18,100
2021-07-25,53
2021-08-01,26
2021-08-08,40
2021-08-15,26
2021-08-22,63
2021-08-29,28
