date,Crafts_FI
2020-03-15,69
2020-03-22,52
2020-03-29,37
2020-04-05,58
2020-04-12,73
2020-04-19,73
2020-04-26,59
2020-05-03,36
2020-05-10,36
2020-05-17,39
2020-05-24,56
2020-05-31,44
2020-06-07,34
2020-06-14,49
2020-06-21,42
2020-06-28,60
2020-07-05,56
2020-07-12,43
2020-07-19,41
2020-07-26,36
2020-08-02,64
2020-08-09,76
2020-08-16,29
2020-08-23,56
2020-08-30,38
2020-09-06,67
2020-09-13,39
2020-09-20,57
2020-09-27,41
2020-10-04,30
2020-10-11,45
2020-10-18,26
2020-10-25,50
2020-11-01,42
2020-11-08,37
2020-11-15,56
2020-11-22,61
2020-11-29,50
2020-12-06,44
2020-12-13,51
2020-12-20,42
2020-12-27,100
2021-01-03,63
2021-01-10,62
2021-01-17,31
2021-01-24,25
2021-01-31,31
2021-02-07,70
2021-02-14,63
2021-02-21,38
2021-02-28,80
2021-03-07,100
2021-03-14,24
2021-03-21,81
2021-03-28,26
2021-04-04,62
2021-04-11,51
2021-04-18,63
2021-04-25,56
2021-05-02,31
2021-05-09,26
2021-05-16,37
2021-05-23,13
2021-05-30,13
2021-06-06,33
2021-06-13,26
2021-06-20,42
2021-06-27,20
2021-07-04,60
2021-07-11,20
2021-07-18,47
2021-07-25,33
2021-08-01,20
2021-08-08,13
2021-08-15,45
2021-08-22,29
2021-08-29,36
