date,Game_BD
2018-01-07,73
2018-01-14,75
2018-01-21,79
2018-01-28,76
2018-02-04,63
2018-02-11,70
2018-02-18,77
2018-02-25,65
2018-03-04,66
2018-03-11,68
2018-03-18,75
2018-03-25,75
2018-04-01,71
2018-04-08,67
2018-04-15,68
2018-04-22,65
2018-04-29,75
2018-05-06,72
2018-05-13,74
2018-05-20,86
2018-05-27,77
2018-06-03,75
2018-06-10,92
2018-06-17,87
2018-06-24,60
2018-07-01,66
2018-07-08,66
2018-07-15,59
2018-07-22,74
2018-07-29,67
2018-08-05,73
2018-08-12,76
2018-08-19,100
2018-08-26,81
2018-09-02,69
2018-09-09,68
2018-09-16,63
2018-09-23,54
2018-09-30,62
2018-10-07,72
2018-10-14,68
2018-10-21,62
2018-10-28,64
2018-11-04,64
2018-11-11,65
2018-11-18,69
2018-11-25,61
2018-12-02,70
2018-12-09,78
2018-12-16,73
2018-12-23,72
2018-12-30,70
2019-01-06,59
2019-01-13,61
2019-01-20,62
2019-01-27,62
2019-02-03,62
2019-02-10,65
2019-02-17,64
2019-02-24,58
2019-03-03,57
2019-03-10,68
2019-03-17,69
2019-03-24,60
2019-03-31,58
2019-04-07,68
2019-04-14,79
2019-04-21,70
2019-04-28,63
2019-05-05,75
2019-05-12,71
2019-05-19,73
2019-05-26,78
2019-06-02,75
2019-06-09,75
2019-06-16,54
2019-06-23,55
2019-06-30,67
2019-07-07,68
2019-07-14,65
2019-07-21,69
2019-07-28,66
2019-08-04,71
2019-08-11,92
2019-08-18,63
2019-08-25,70
2019-09-01,63
2019-09-08,70
2019-09-15,63
2019-09-22,61
2019-09-29,69
2019-10-06,68
2019-10-13,65
2019-10-20,62
2019-10-27,57
2019-11-03,51
2019-11-10,64
2019-11-17,67
2019-11-24,65
2019-12-01,83
2019-12-08,85
2019-12-15,69
2019-12-22,79
2019-12-29,58
2020-01-05,63
2020-01-12,56
2020-01-19,64
2020-01-26,62
2020-02-02,66
2020-02-09,55
2020-02-16,54
2020-02-23,61
2020-03-01,58
2020-03-08,64
