Category: All categories

Week,Learning: (South Africa)
2018-01-07,38
2018-01-14,43
2018-01-21,38
2018-01-28,48
2018-02-04,60
2018-02-11,58
2018-02-18,78
2018-02-25,74
2018-03-04,84
2018-03-11,100
2018-03-18,80
2018-03-25,62
2018-04-01,74
2018-04-08,96
2018-04-15,84
2018-04-22,70
2018-04-29,60
2018-05-06,70
2018-05-13,60
2018-05-20,66
2018-05-27,59
2018-06-03,51
2018-06-10,58
2018-06-17,49
2018-06-24,40
2018-07-01,37
2018-07-08,42
2018-07-15,53
2018-07-22,60
2018-07-29,64
2018-08-05,61
2018-08-12,72
2018-08-19,84
2018-08-26,71
2018-09-02,73
2018-09-09,74
2018-09-16,53
2018-09-23,61
2018-09-30,51
2018-10-07,67
2018-10-14,58
2018-10-21,55
2018-10-28,52
2018-11-04,48
2018-11-11,51
2018-11-18,44
2018-11-25,31
2018-12-02,32
2018-12-09,32
2018-12-16,25
2018-12-23,25
2018-12-30,33
2019-01-06,48
2019-01-13,45
2019-01-20,41
2019-01-27,43
2019-02-03,57
2019-02-10,59
2019-02-17,73
2019-02-24,66
2019-03-03,64
2019-03-10,66
2019-03-17,59
2019-03-24,61
2019-03-31,67
2019-04-07,74
2019-04-14,63
2019-04-21,69
2019-04-28,49
2019-05-05,53
2019-05-12,60
2019-05-19,63
2019-05-26,53
2019-06-02,49
2019-06-09,50
2019-06-16,37
2019-06-23,37
2019-06-30,41
2019-07-07,45
2019-07-14,60
2019-07-21,55
2019-07-28,57
2019-08-04,63
2019-08-11,73
2019-08-18,66
2019-08-25,74
2019-09-01,67
2019-09-08,64
2019-09-15,59
2019-09-22,49
2019-09-29,51
2019-10-06,54
2019-10-13,55
2019-10-20,51
2019-10-27,49
2019-11-03,46
2019-11-10,41
2019-11-17,38
2019-11-24,31
2019-12-01,35
2019-12-08,27
2019-12-15,24
2019-12-22,24
2019-12-29,30
2020-01-05,38
2020-01-12,40
2020-01-19,44
2020-01-26,46
2020-02-02,50
2020-02-09,56
2020-02-16,68
2020-02-23,69
2020-03-01,73
2020-03-08,67
2020-03-15,57
2020-03-22,49
2020-03-29,70
2020-04-05,74
2020-04-12,84
2020-04-19,75
2020-04-26,65
2020-05-03,63
2020-05-10,65
2020-05-17,68
2020-05-24,65
2020-05-31,63
2020-06-07,70
2020-06-14,62
2020-06-21,61
2020-06-28,55
2020-07-05,55
2020-07-12,58
2020-07-19,63
2020-07-26,61
2020-08-02,50
2020-08-09,64
2020-08-16,70
2020-08-23,72
2020-08-30,76
2020-09-06,76
2020-09-13,82
2020-09-20,71
2020-09-27,68
2020-10-04,74
2020-10-11,70
2020-10-18,68
2020-10-25,62
2020-11-01,63
2020-11-08,62
2020-11-15,59
2020-11-22,47
2020-11-29,50
2020-12-06,40
2020-12-13,36
2020-12-20,20
2020-12-27,27
