Category: All categories

Week,Learning: (Nigeria)
2018-01-07,58
2018-01-14,61
2018-01-21,71
2018-01-28,71
2018-02-04,66
2018-02-11,81
2018-02-18,79
2018-02-25,79
2018-03-04,67
2018-03-11,62
2018-03-18,61
2018-03-25,65
2018-04-01,69
2018-04-08,59
2018-04-15,70
2018-04-22,67
2018-04-29,59
2018-05-06,67
2018-05-13,63
2018-05-20,63
2018-05-27,68
2018-06-03,72
2018-06-10,71
2018-06-17,61
2018-06-24,67
2018-07-01,74
2018-07-08,61
2018-07-15,69
2018-07-22,62
2018-07-29,65
2018-08-05,62
2018-08-12,68
2018-08-19,56
2018-08-26,60
2018-09-02,73
2018-09-09,63
2018-09-16,68
2018-09-23,50
2018-09-30,49
2018-10-07,49
2018-10-14,60
2018-10-21,54
2018-10-28,60
2018-11-04,52
2018-11-11,47
2018-11-18,52
2018-11-25,49
2018-12-02,42
2018-12-09,54
2018-12-16,48
2018-12-23,41
2018-12-30,61
2019-01-06,53
2019-01-13,55
2019-01-20,53
2019-01-27,49
2019-02-03,65
2019-02-10,51
2019-02-17,54
2019-02-24,49
2019-03-03,57
2019-03-10,61
2019-03-17,80
2019-03-24,61
2019-03-31,67
2019-04-07,75
2019-04-14,52
2019-04-21,69
2019-04-28,70
2019-05-05,70
2019-05-12,62
2019-05-19,80
2019-05-26,70
2019-06-02,59
2019-06-09,57
2019-06-16,63
2019-06-23,66
2019-06-30,71
2019-07-07,63
2019-07-14,70
2019-07-21,66
2019-07-28,72
2019-08-04,68
2019-08-11,65
2019-08-18,78
2019-08-25,72
2019-09-01,84
2019-09-08,80
2019-09-15,80
2019-09-22,70
2019-09-29,60
2019-10-06,72
2019-10-13,73
2019-10-20,76
2019-10-27,71
2019-11-03,68
2019-11-10,62
2019-11-17,66
2019-11-24,56
2019-12-01,55
2019-12-08,63
2019-12-15,58
2019-12-22,51
2019-12-29,47
2020-01-05,62
2020-01-12,69
2020-01-19,81
2020-01-26,64
2020-02-02,72
2020-02-09,74
2020-02-16,79
2020-02-23,75
2020-03-01,71
2020-03-08,68
2020-03-15,70
2020-03-22,60
2020-03-29,74
2020-04-05,76
2020-04-12,84
2020-04-19,100
2020-04-26,87
2020-05-03,98
2020-05-10,94
2020-05-17,88
2020-05-24,86
2020-05-31,84
2020-06-07,74
2020-06-14,76
2020-06-21,66
2020-06-28,63
2020-07-05,63
2020-07-12,58
2020-07-19,69
2020-07-26,66
2020-08-02,65
2020-08-09,60
2020-08-16,62
2020-08-23,65
2020-08-30,61
2020-09-06,63
2020-09-13,52
2020-09-20,62
2020-09-27,47
2020-10-04,50
2020-10-11,52
2020-10-18,44
2020-10-25,55
2020-11-01,49
2020-11-08,59
2020-11-15,66
2020-11-22,64
2020-11-29,53
2020-12-06,51
2020-12-13,53
2020-12-20,43
2020-12-27,37
