Category: All categories

Week,Learning: (France)
2018-01-07,70
2018-01-14,71
2018-01-21,77
2018-01-28,69
2018-02-04,68
2018-02-11,62
2018-02-18,61
2018-02-25,64
2018-03-04,55
2018-03-11,62
2018-03-18,76
2018-03-25,67
2018-04-01,59
2018-04-08,71
2018-04-15,53
2018-04-22,61
2018-04-29,52
2018-05-06,51
2018-05-13,65
2018-05-20,57
2018-05-27,57
2018-06-03,63
2018-06-10,61
2018-06-17,55
2018-06-24,55
2018-07-01,50
2018-07-08,51
2018-07-15,57
2018-07-22,55
2018-07-29,48
2018-08-05,51
2018-08-12,53
2018-08-19,54
2018-08-26,58
2018-09-02,54
2018-09-09,74
2018-09-16,73
2018-09-23,79
2018-09-30,82
2018-10-07,69
2018-10-14,71
2018-10-21,62
2018-10-28,53
2018-11-04,63
2018-11-11,68
2018-11-18,65
2018-11-25,73
2018-12-02,59
2018-12-09,62
2018-12-16,55
2018-12-23,39
2018-12-30,46
2019-01-06,62
2019-01-13,69
2019-01-20,63
2019-01-27,100
2019-02-03,99
2019-02-10,83
2019-02-17,90
2019-02-24,81
2019-03-03,90
2019-03-10,88
2019-03-17,95
2019-03-24,84
2019-03-31,74
2019-04-07,63
2019-04-14,63
2019-04-21,64
2019-04-28,58
2019-05-05,66
2019-05-12,63
2019-05-19,69
2019-05-26,62
2019-06-02,51
2019-06-09,71
2019-06-16,68
2019-06-23,58
2019-06-30,63
2019-07-07,55
2019-07-14,66
2019-07-21,54
2019-07-28,47
2019-08-04,63
2019-08-11,49
2019-08-18,61
2019-08-25,58
2019-09-01,62
2019-09-08,75
2019-09-15,73
2019-09-22,72
2019-09-29,78
2019-10-06,75
2019-10-13,72
2019-10-20,64
2019-10-27,52
2019-11-03,63
2019-11-10,72
2019-11-17,73
2019-11-24,65
2019-12-01,60
2019-12-08,53
2019-12-15,63
2019-12-22,44
2019-12-29,46
2020-01-05,69
2020-01-12,89
2020-01-19,57
2020-01-26,69
2020-02-02,71
2020-02-09,64
2020-02-16,63
2020-02-23,70
2020-03-01,67
2020-03-08,77
2020-03-15,64
2020-03-22,81
2020-03-29,76
2020-04-05,83
2020-04-12,72
2020-04-19,75
2020-04-26,71
2020-05-03,68
2020-05-10,66
2020-05-17,56
2020-05-24,67
2020-05-31,55
2020-06-07,61
2020-06-14,62
2020-06-21,67
2020-06-28,58
2020-07-05,53
2020-07-12,37
2020-07-19,58
2020-07-26,45
2020-08-02,40
2020-08-09,45
2020-08-16,45
2020-08-23,54
2020-08-30,56
2020-09-06,70
2020-09-13,71
2020-09-20,69
2020-09-27,69
2020-10-04,66
2020-10-11,64
2020-10-18,57
2020-10-25,61
2020-11-01,67
2020-11-08,54
2020-11-15,62
2020-11-22,62
2020-11-29,56
2020-12-06,71
2020-12-13,71
2020-12-20,48
2020-12-27,41
