Category: All categories

Week,Learning: (India)
2018-01-07,66
2018-01-14,63
2018-01-21,63
2018-01-28,65
2018-02-04,64
2018-02-11,63
2018-02-18,65
2018-02-25,61
2018-03-04,65
2018-03-11,67
2018-03-18,66
2018-03-25,64
2018-04-01,64
2018-04-08,61
2018-04-15,62
2018-04-22,66
2018-04-29,57
2018-05-06,63
2018-05-13,59
2018-05-20,63
2018-05-27,68
2018-06-03,64
2018-06-10,63
2018-06-17,62
2018-06-24,60
2018-07-01,61
2018-07-08,64
2018-07-15,63
2018-07-22,65
2018-07-29,64
2018-08-05,59
2018-08-12,58
2018-08-19,57
2018-08-26,59
2018-09-02,60
2018-09-09,56
2018-09-16,57
2018-09-23,62
2018-09-30,58
2018-10-07,59
2018-10-14,50
2018-10-21,52
2018-10-28,53
2018-11-04,43
2018-11-11,55
2018-11-18,58
2018-11-25,58
2018-12-02,60
2018-12-09,57
2018-12-16,56
2018-12-23,52
2018-12-30,52
2019-01-06,59
2019-01-13,52
2019-01-20,55
2019-01-27,54
2019-02-03,57
2019-02-10,56
2019-02-17,57
2019-02-24,55
2019-03-03,54
2019-03-10,56
2019-03-17,55
2019-03-24,57
2019-03-31,55
2019-04-07,51
2019-04-14,48
2019-04-21,52
2019-04-28,50
2019-05-05,55
2019-05-12,58
2019-05-19,55
2019-05-26,58
2019-06-02,55
2019-06-09,56
2019-06-16,59
2019-06-23,61
2019-06-30,58
2019-07-07,61
2019-07-14,61
2019-07-21,62
2019-07-28,60
2019-08-04,56
2019-08-11,54
2019-08-18,61
2019-08-25,65
2019-09-01,60
2019-09-08,67
2019-09-15,69
2019-09-22,68
2019-09-29,55
2019-10-06,55
2019-10-13,58
2019-10-20,51
2019-10-27,49
2019-11-03,59
2019-11-10,61
2019-11-17,65
2019-11-24,66
2019-12-01,63
2019-12-08,63
2019-12-15,60
2019-12-22,50
2019-12-29,56
2020-01-05,62
2020-01-12,58
2020-01-19,62
2020-01-26,58
2020-02-02,61
2020-02-09,63
2020-02-16,67
2020-02-23,65
2020-03-01,64
2020-03-08,55
2020-03-15,55
2020-03-22,67
2020-03-29,82
2020-04-05,93
2020-04-12,100
2020-04-19,98
2020-04-26,99
2020-05-03,93
2020-05-10,92
2020-05-17,86
2020-05-24,83
2020-05-31,85
2020-06-07,80
2020-06-14,77
2020-06-21,79
2020-06-28,80
2020-07-05,81
2020-07-12,85
2020-07-19,81
2020-07-26,78
2020-08-02,74
2020-08-09,76
2020-08-16,78
2020-08-23,78
2020-08-30,80
2020-09-06,82
2020-09-13,84
2020-09-20,82
2020-09-27,70
2020-10-04,70
2020-10-11,67
2020-10-18,62
2020-10-25,62
2020-11-01,63
2020-11-08,58
2020-11-15,66
2020-11-22,70
2020-11-29,66
2020-12-06,69
2020-12-13,72
2020-12-20,68
2020-12-27,64
