Category: All categories

Week,Learning: (Egypt)
2018-01-07,45
2018-01-14,55
2018-01-21,56
2018-01-28,45
2018-02-04,54
2018-02-11,49
2018-02-18,53
2018-02-25,45
2018-03-04,51
2018-03-11,74
2018-03-18,43
2018-03-25,51
2018-04-01,46
2018-04-08,40
2018-04-15,48
2018-04-22,36
2018-04-29,36
2018-05-06,52
2018-05-13,44
2018-05-20,33
2018-05-27,41
2018-06-03,41
2018-06-10,30
2018-06-17,32
2018-06-24,43
2018-07-01,43
2018-07-08,35
2018-07-15,46
2018-07-22,38
2018-07-29,39
2018-08-05,38
2018-08-12,45
2018-08-19,47
2018-08-26,56
2018-09-02,41
2018-09-09,58
2018-09-16,65
2018-09-23,52
2018-09-30,60
2018-10-07,67
2018-10-14,53
2018-10-21,64
2018-10-28,76
2018-11-04,59
2018-11-11,55
2018-11-18,59
2018-11-25,60
2018-12-02,57
2018-12-09,66
2018-12-16,66
2018-12-23,74
2018-12-30,49
2019-01-06,55
2019-01-13,47
2019-01-20,50
2019-01-27,61
2019-02-03,43
2019-02-10,61
2019-02-17,57
2019-02-24,59
2019-03-03,54
2019-03-10,55
2019-03-17,58
2019-03-24,61
2019-03-31,56
2019-04-07,48
2019-04-14,45
2019-04-21,48
2019-04-28,36
2019-05-05,48
2019-05-12,44
2019-05-19,36
2019-05-26,42
2019-06-02,47
2019-06-09,50
2019-06-16,49
2019-06-23,54
2019-06-30,42
2019-07-07,38
2019-07-14,49
2019-07-21,54
2019-07-28,59
2019-08-04,33
2019-08-11,44
2019-08-18,50
2019-08-25,41
2019-09-01,55
2019-09-08,49
2019-09-15,49
2019-09-22,77
2019-09-29,63
2019-10-06,68
2019-10-13,52
2019-10-20,64
2019-10-27,63
2019-11-03,59
2019-11-10,53
2019-11-17,55
2019-11-24,56
2019-12-01,55
2019-12-08,67
2019-12-15,63
2019-12-22,48
2019-12-29,48
2020-01-05,44
2020-01-12,48
2020-01-19,50
2020-01-26,55
2020-02-02,56
2020-02-09,51
2020-02-16,51
2020-02-23,48
2020-03-01,56
2020-03-08,51
2020-03-15,100
2020-03-22,85
2020-03-29,72
2020-04-05,84
2020-04-12,65
2020-04-19,65
2020-04-26,69
2020-05-03,73
2020-05-10,70
2020-05-17,82
2020-05-24,91
2020-05-31,99
2020-06-07,80
2020-06-14,55
2020-06-21,63
2020-06-28,54
2020-07-05,49
2020-07-12,50
2020-07-19,50
2020-07-26,53
2020-08-02,42
2020-08-09,55
2020-08-16,51
2020-08-23,52
2020-08-30,54
2020-09-06,47
2020-09-13,50
2020-09-20,49
2020-09-27,59
2020-10-04,55
2020-10-11,49
2020-10-18,66
2020-10-25,65
2020-11-01,63
2020-11-08,66
2020-11-15,70
2020-11-22,62
2020-11-29,65
2020-12-06,60
2020-12-13,61
2020-12-20,69
2020-12-27,75
