Category: All categories

Week,Learning: (Canada)
2018-01-07,61
2018-01-14,67
2018-01-21,70
2018-01-28,67
2018-02-04,64
2018-02-11,62
2018-02-18,58
2018-02-25,64
2018-03-04,64
2018-03-11,60
2018-03-18,60
2018-03-25,57
2018-04-01,57
2018-04-08,59
2018-04-15,58
2018-04-22,53
2018-04-29,54
2018-05-06,53
2018-05-13,55
2018-05-20,51
2018-05-27,58
2018-06-03,52
2018-06-10,54
2018-06-17,54
2018-06-24,48
2018-07-01,47
2018-07-08,48
2018-07-15,48
2018-07-22,51
2018-07-29,46
2018-08-05,43
2018-08-12,48
2018-08-19,44
2018-08-26,47
2018-09-02,66
2018-09-09,73
2018-09-16,72
2018-09-23,72
2018-09-30,67
2018-10-07,60
2018-10-14,71
2018-10-21,67
2018-10-28,65
2018-11-04,64
2018-11-11,62
2018-11-18,65
2018-11-25,64
2018-12-02,68
2018-12-09,59
2018-12-16,51
2018-12-23,35
2018-12-30,47
2019-01-06,62
2019-01-13,63
2019-01-20,65
2019-01-27,65
2019-02-03,62
2019-02-10,60
2019-02-17,55
2019-02-24,63
2019-03-03,64
2019-03-10,59
2019-03-17,58
2019-03-24,60
2019-03-31,66
2019-04-07,62
2019-04-14,50
2019-04-21,52
2019-04-28,50
2019-05-05,51
2019-05-12,51
2019-05-19,52
2019-05-26,50
2019-06-02,52
2019-06-09,51
2019-06-16,50
2019-06-23,47
2019-06-30,45
2019-07-07,48
2019-07-14,50
2019-07-21,50
2019-07-28,44
2019-08-04,41
2019-08-11,45
2019-08-18,47
2019-08-25,49
2019-09-01,61
2019-09-08,76
2019-09-15,71
2019-09-22,65
2019-09-29,64
2019-10-06,66
2019-10-13,62
2019-10-20,66
2019-10-27,64
2019-11-03,64
2019-11-10,61
2019-11-17,61
2019-11-24,58
2019-12-01,58
2019-12-08,58
2019-12-15,53
2019-12-22,36
2019-12-29,40
2020-01-05,64
2020-01-12,66
2020-01-19,65
2020-01-26,70
2020-02-02,66
2020-02-09,64
2020-02-16,60
2020-02-23,66
2020-03-01,63
2020-03-08,63
2020-03-15,85
2020-03-22,100
2020-03-29,95
2020-04-05,82
2020-04-12,77
2020-04-19,75
2020-04-26,68
2020-05-03,65
2020-05-10,65
2020-05-17,59
2020-05-24,64
2020-05-31,65
2020-06-07,64
2020-06-14,63
2020-06-21,57
2020-06-28,56
2020-07-05,60
2020-07-12,58
2020-07-19,55
2020-07-26,55
2020-08-02,46
2020-08-09,54
2020-08-16,53
2020-08-23,54
2020-08-30,62
2020-09-06,78
2020-09-13,82
2020-09-20,75
2020-09-27,66
2020-10-04,63
2020-10-11,57
2020-10-18,59
2020-10-25,58
2020-11-01,50
2020-11-08,56
2020-11-15,61
2020-11-22,57
2020-11-29,65
2020-12-06,59
2020-12-13,52
2020-12-20,44
2020-12-27,47
