Category: All categories

Week,Musical instrument: (United Kingdom)
2018-01-07,61
2018-01-14,62
2018-01-21,62
2018-01-28,65
2018-02-04,56
2018-02-11,60
2018-02-18,56
2018-02-25,55
2018-03-04,57
2018-03-11,59
2018-03-18,57
2018-03-25,49
2018-04-01,44
2018-04-08,54
2018-04-15,58
2018-04-22,54
2018-04-29,52
2018-05-06,61
2018-05-13,50
2018-05-20,53
2018-05-27,57
2018-06-03,67
2018-06-10,60
2018-06-17,42
2018-06-24,60
2018-07-01,44
2018-07-08,49
2018-07-15,44
2018-07-22,56
2018-07-29,38
2018-08-05,45
2018-08-12,50
2018-08-19,47
2018-08-26,47
2018-09-02,63
2018-09-09,55
2018-09-16,68
2018-09-23,69
2018-09-30,63
2018-10-07,64
2018-10-14,62
2018-10-21,51
2018-10-28,53
2018-11-04,55
2018-11-11,65
2018-11-18,66
2018-11-25,54
2018-12-02,63
2018-12-09,62
2018-12-16,49
2018-12-23,57
2018-12-30,51
2019-01-06,52
2019-01-13,57
2019-01-20,66
2019-01-27,51
2019-02-03,62
2019-02-10,54
2019-02-17,58
2019-02-24,56
2019-03-03,56
2019-03-10,51
2019-03-17,61
2019-03-24,60
2019-03-31,50
2019-04-07,49
2019-04-14,51
2019-04-21,49
2019-04-28,57
2019-05-05,56
2019-05-12,50
2019-05-19,59
2019-05-26,50
2019-06-02,56
2019-06-09,77
2019-06-16,48
2019-06-23,51
2019-06-30,52
2019-07-07,51
2019-07-14,50
2019-07-21,43
2019-07-28,51
2019-08-04,38
2019-08-11,42
2019-08-18,43
2019-08-25,56
2019-09-01,50
2019-09-08,68
2019-09-15,54
2019-09-22,54
2019-09-29,63
2019-10-06,60
2019-10-13,68
2019-10-20,54
2019-10-27,61
2019-11-03,59
2019-11-10,75
2019-11-17,82
2019-11-24,71
2019-12-01,64
2019-12-08,53
2019-12-15,66
2019-12-22,71
2019-12-29,51
2020-01-05,61
2020-01-12,69
2020-01-19,63
2020-01-26,68
2020-02-02,63
2020-02-09,59
2020-02-16,65
2020-02-23,60
2020-03-01,56
2020-03-08,55
2020-03-15,55
2020-03-22,92
2020-03-29,86
2020-04-05,70
2020-04-12,72
2020-04-19,100
2020-04-26,97
2020-05-03,83
2020-05-10,88
2020-05-17,91
2020-05-24,69
2020-05-31,79
2020-06-07,72
2020-06-14,75
2020-06-21,68
2020-06-28,69
2020-07-05,72
2020-07-12,62
2020-07-19,48
2020-07-26,42
2020-08-02,48
2020-08-09,65
2020-08-16,45
2020-08-23,53
2020-08-30,54
2020-09-06,56
2020-09-13,55
2020-09-20,61
2020-09-27,54
2020-10-04,69
2020-10-11,61
2020-10-18,74
2020-10-25,57
2020-11-01,56
2020-11-08,62
2020-11-15,95
2020-11-22,71
2020-11-29,58
2020-12-06,60
2020-12-13,58
2020-12-20,65
2020-12-27,53
